Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator--()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.00     0.00       12     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       12     0.00     0.00  std::pair<float, float>::pair<float&, float&, true>(float&, float&)
  0.00      0.00     0.00       12     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<float&>::type>::__type, std::__strip_reference_wrapper<std::decay<float&>::type>::__type> std::make_pair<float&, float&>(float&, float&)
  0.00      0.00     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator-(long) const
  0.00      0.00     0.00       10     0.00     0.00  std::__new_allocator<Point>::~__new_allocator()
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Point, std::allocator<Point> >::back()
  0.00      0.00     0.00       10     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00        9     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        9     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::_S_buffer_size()
  0.00      0.00     0.00        9     0.00     0.00  Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}::operator()(Point const&, Point const&) const
  0.00      0.00     0.00        9     0.00     0.00  Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}::operator()(Point const&, Point const&) const
  0.00      0.00     0.00        8     0.00     0.00  Convex::add_vx(float, float)
  0.00      0.00     0.00        8     0.00     0.00  Point& std::vector<Point, std::allocator<Point> >::emplace_back<Point>(Point&&)
  0.00      0.00     0.00        8     0.00     0.00  std::vector<Point, std::allocator<Point> >::push_back(Point&&)
  0.00      0.00     0.00        7     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Point*>(Point*, Point*)
  0.00      0.00     0.00        7     0.00     0.00  void std::_Destroy<Point*>(Point*, Point*)
  0.00      0.00     0.00        6     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>::operator()<Point, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(Point&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        6     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>::operator()<Point, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(Point&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base()
  0.00      0.00     0.00        6     0.00     0.00  void std::vector<Point, std::allocator<Point> >::_M_realloc_insert<Point>(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, Point&&)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<Point, std::allocator<Point> >::~vector()
  0.00      0.00     0.00        6     0.00     0.00  bool std::operator< <float, float>(std::pair<float, float> const&, std::pair<float, float> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::remove_reference<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}&>::type&& std::move<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}&>(Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}&)
  0.00      0.00     0.00        5     0.00     0.00  std::remove_reference<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}&>::type&& std::move<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}&>(Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}&)
  0.00      0.00     0.00        5     0.00     0.00  std::operator-(std::_Deque_iterator<Point, Point&, Point*> const&, std::_Deque_iterator<Point, Point&, Point*> const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >::__normal_iterator(Point const* const&)
  0.00      0.00     0.00        4     0.00     0.00  bool __gnu_cxx::operator==<Point*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >::base() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::operator*() const
  0.00      0.00     0.00        4     0.00     0.00  std::deque<Point, std::allocator<Point> >::size() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base()
  0.00      0.00     0.00        4     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::operator--()
  0.00      0.00     0.00        4     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<Point, Point&, Point*> >::reverse_iterator(std::_Deque_iterator<Point, Point&, Point*>)
  0.00      0.00     0.00        4     0.00     0.00  std::deque<Point, std::allocator<Point> >::end()
  0.00      0.00     0.00        4     0.00     0.00  std::deque<Point, std::allocator<Point> >::push_back(Point const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Point, std::allocator<Point> >::push_back(Point const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > std::__miter_base<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        4     0.00     0.00  Point const* std::__niter_base<Point const*, std::vector<Point, std::allocator<Point> > >(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        4     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>&&)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>::_Val_comp_iter(__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>&&)
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}>::operator()<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>::operator()<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}>::operator()<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        3     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>::operator()<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > > >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}> __gnu_cxx::__ops::__val_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>(__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}> __gnu_cxx::__ops::__val_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>(__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>)
  0.00      0.00     0.00        3     0.00     0.00  void std::vector<Point, std::allocator<Point> >::_M_realloc_insert<Point const&>(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, Point const&)
  0.00      0.00     0.00        3     0.00     0.00  Point* std::__niter_wrap<Point*>(Point* const&, Point*)
  0.00      0.00     0.00        3     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}> >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>)
  0.00      0.00     0.00        3     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}> >(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__ops::_Val_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>)
  0.00      0.00     0.00        3     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>&>(__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>&)
  0.00      0.00     0.00        3     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>&>(__gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>&)
  0.00      0.00     0.00        3     0.00     0.00  Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}::operator()(Point, Point) const
  0.00      0.00     0.00        3     0.00     0.00  Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}::operator()(Point, Point) const
  0.00      0.00     0.00        2     0.00     0.00  Convex::calculate_area()
  0.00      0.00     0.00        2     0.00     0.00  Convex::Convex(int)
  0.00      0.00     0.00        2     0.00     0.00  Convex::~Convex()
  0.00      0.00     0.00        2     0.00     0.00  Convex::get_convex_vx() const
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >::operator+(long) const
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_get_map_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<Point, Point&, Point*> >::operator*() const
  0.00      0.00     0.00        2     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<Point, Point&, Point*> >::operator+(long) const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Point, std::allocator<Point> >::end() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Point, std::allocator<Point> >::begin() const
  0.00      0.00     0.00        2     0.00     0.00  Point* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Point const, Point>(Point const*, Point const*, Point*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl(std::allocator<Point> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base(unsigned long, std::allocator<Point> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::_M_set_node(Point**)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::_Deque_iterator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::operator-=(long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*>::operator+=(long)
  0.00      0.00     0.00        2     0.00     0.00  std::__new_allocator<Point*>::~__new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  Point* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*>(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*)
  0.00      0.00     0.00        2     0.00     0.00  std::deque<Point, std::allocator<Point> >::back()
  0.00      0.00     0.00        2     0.00     0.00  std::deque<Point, std::allocator<Point> >::begin()
  0.00      0.00     0.00        2     0.00     0.00  std::deque<Point, std::allocator<Point> >::rbegin()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector(std::vector<Point, std::allocator<Point> > const&)
  0.00      0.00     0.00        2     0.00     0.00  int std::__bit_width<unsigned long>(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*> std::__miter_base<std::_Deque_iterator<Point, Point&, Point*> >(std::_Deque_iterator<Point, Point&, Point*>)
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<Point, Point&, Point*> std::__niter_base<std::_Deque_iterator<Point, Point&, Point*> >(std::_Deque_iterator<Point, Point&, Point*>)
  0.00      0.00     0.00        2     0.00     0.00  Point* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*>(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*)
  0.00      0.00     0.00        2     0.00     0.00  int std::__countl_zero<unsigned long>(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  Point* std::__copy_move_a1<false, Point const*, Point*>(Point const*, Point const*, Point*)
  0.00      0.00     0.00        2     0.00     0.00  Point* std::__copy_move_a2<false, Point const*, Point*>(Point const*, Point const*, Point*)
  0.00      0.00     0.00        2     0.00     0.00  Point* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*>(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*)
  0.00      0.00     0.00        2     0.00     0.00  Point* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*, Point>(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*, std::allocator<Point>&)
  0.00      0.00     0.00        2     0.00     0.00  std::abs(float)
  0.00      0.00     0.00        2     0.00     0.00  long std::__lg<long>(long)
  0.00      0.00     0.00        2     0.00     0.00  Point* std::copy<__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*>(__gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point const*, std::vector<Point, std::allocator<Point> > >, Point*)
  0.00      0.00     0.00        2     0.00     0.00  std::remove_reference<Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}&>::type&& std::move<Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}&>(Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}&)
  0.00      0.00     0.00        2     0.00     0.00  std::remove_reference<Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}&>::type&& std::move<Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}&>(Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}&)
  0.00      0.00     0.00        2     0.00     0.00  std::operator-(std::_Deque_iterator<Point, Point&, Point*> const&, long)
  0.00      0.00     0.00        1     0.00     0.00  run_convexHull_deque(Convex&)
  0.00      0.00     0.00        1     0.00     0.00  run_convexHull_vector(Convex&)
  0.00      0.00     0.00        1     0.00     0.00  Convex::findConvexHull_using_deque()
  0.00      0.00     0.00        1     0.00     0.00  Convex::findConvexHull_using_vector()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}>::_Iter_comp_iter(Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>::_Iter_comp_iter(Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}>::_Iter_comp_iter(Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>::_Iter_comp_iter(Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}> __gnu_cxx::__ops::__iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1}>(Convex::findConvexHull_using_deque()::{lambda(Point, Point)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}> __gnu_cxx::__ops::__iter_comp_iter<Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1}>(Convex::findConvexHull_using_deque()::{lambda(Point const&, Point const&)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}> __gnu_cxx::__ops::__iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1}>(Convex::findConvexHull_using_vector()::{lambda(Point, Point)#1})
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}> __gnu_cxx::__ops::__iter_comp_iter<Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1}>(Convex::findConvexHull_using_vector()::{lambda(Point const&, Point const&)#1})
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Point, std::allocator<Point> >::capacity() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_Deque_impl::_Deque_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_Deque_impl::~_Deque_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_allocate_map(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_create_nodes(Point**, Point**)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_allocate_node()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_destroy_nodes(Point**, Point**)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_deallocate_map(Point**, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_initialize_map(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<Point, std::allocator<Point> >::_M_deallocate_node(Point*)
